contamination,accuracy,macro_f1,minority_recall,js_divergence,wasserstein,covariance_shift,class_entropy,minority_share,early_warning_score
0.0,0.9685185185185186,0.9681463602250066,0.8653846153846154,0.0,0.0,1.2128444309253064e-15,3.3217810529560987,0.09705648369132856,0.0
0.1,0.9666666666666667,0.9663729060513475,0.8846153846153846,0.011228157087763427,0.027367417182829052,0.159742371062336,3.3206105521818694,0.08989657915672236,20.02335445311277
0.2,0.9629629629629629,0.9627582301636514,0.8653846153846154,0.023808330875663305,0.047850490350230174,0.08791282287589633,3.3199961603365926,0.09307875894988067,18.288434655619916
0.30000000000000004,0.95,0.9497334600063214,0.8653846153846154,0.03633740144630042,0.07321926903035784,0.1471650923129094,3.320774206453639,0.09387430389817025,27.698235450153668
0.4,0.9518518518518518,0.9516778452821866,0.8653846153846154,0.047898700510113676,0.09599666041974858,0.13089077116462988,3.3193801005883756,0.09228321400159109,31.65543367758341
0.5,0.9462962962962963,0.9462193858797772,0.8461538461538461,0.06320281586421544,0.12234387987028258,0.14111317245081814,3.3175452385205046,0.09228321400159109,39.363228172726295
0.6000000000000001,0.9444444444444444,0.9442994826355557,0.8076923076923077,0.08148319436605964,0.14241536368838204,0.18160383691470658,3.317469477700182,0.08591885441527446,48.2444703065326
0.7000000000000001,0.9462962962962963,0.9459736309899688,0.8269230769230769,0.10092511300600729,0.1618356436147851,0.20039489159326596,3.315936476007516,0.08273667462211615,56.49784426525062
0.8,0.9222222222222223,0.9222289622997619,0.7884615384615384,0.12059364474082762,0.1891405778419995,0.2300458718532342,3.3137839765160892,0.081145584725537,67.06485698198854
0.9,0.9185185185185185,0.9185632862953528,0.75,0.14903268494407335,0.22021698977235354,0.2908226335214071,3.3034699229714724,0.07716785998408911,88.9943131002277
1.0,0.8981481481481481,0.8988473347856744,0.7115384615384616,0.17349449320354515,0.24924804608662296,0.33323890675890727,3.303414290197772,0.07319013524264122,99.99999999963676
