contamination,n_seeds,accuracy_mean,accuracy_std,accuracy_ci95,macro_f1_mean,macro_f1_std,macro_f1_ci95,minority_recall_mean,minority_recall_std,minority_recall_ci95,js_divergence_mean,js_divergence_std,js_divergence_ci95,wasserstein_mean,wasserstein_std,wasserstein_ci95,covariance_shift_mean,covariance_shift_std,covariance_shift_ci95,class_entropy_mean,class_entropy_std,class_entropy_ci95,minority_share_mean,minority_share_std,minority_share_ci95,early_warning_score_mean,early_warning_score_std,early_warning_score_ci95
0.0,10,0.9712962962962963,0.005872314071123618,0.0036396979697189023,0.9712167616372456,0.005926684183836346,0.0036733969147101126,0.9346153846153846,0.038674623407688076,0.023970779933041187,0.0,0.0,0.0,0.0,0.0,0.0,1.6839962792532043e-15,4.821158557305171e-16,2.988185032371568e-16,3.3217810529560987,0.0,0.0,0.09705648369132856,0.0,0.0,0.0,0.0,0.0
0.1,10,0.9688888888888888,0.006521043282095947,0.004041784500424767,0.9687625708912103,0.006652940847121566,0.004123535458193747,0.923076923076923,0.04881905837092248,0.030258365864657553,0.0109907010023015,0.0005206694762395314,0.0003227142847965928,0.027564305407922048,0.001297940204569097,0.0008044716733760733,0.08458421033749194,0.03247618448873333,0.020128947688460734,3.3209818772484354,0.00031911348602194284,0.00019778858778950623,0.09331742243436755,0.0022202530563706657,0.001376127101455978,14.169041029664816,3.221473588445534,1.9966900164665
0.2,10,0.9685185185185186,0.006983770678385668,0.004328585911999601,0.9684788348385946,0.007111590929748442,0.004407809724578316,0.9346153846153846,0.03648781915578897,0.0226153846153846,0.022304203735648925,0.0011387099822761815,0.0007057797591190892,0.05247065596838642,0.002117695828084856,0.0013125614728041655,0.11602210409663394,0.021572902485527082,0.013371023488614747,3.3201747811310427,0.00046546022892154503,0.00028849523878863047,0.09196499602227526,0.0018063523061178882,0.0011195887586299253,23.09557631976215,4.3584927856095455,2.7014218161158703
0.3,10,0.9631481481481481,0.007430519499162567,0.004605483699866874,0.9631104800492393,0.007475160890289587,0.0046331527207473175,0.923076923076923,0.04347647425080299,0.02694699792017521,0.035695931147700345,0.002023882150815502,0.0012544151532181288,0.07673173692092848,0.0022930665596928804,0.0014212573783792073,0.15632346699722127,0.022389497403257207,0.013877154262300767,3.3188661929403054,0.0019295434959316342,0.0011959434491355292,0.08973747016706443,0.0043217287271203105,0.0026786352165877746,33.42573669481659,4.107621123437278,2.545929948955963
0.4,10,0.9605555555555556,0.00944464616907137,0.005853852343375254,0.9604267022429157,0.009595736595874715,0.005947499160118976,0.9115384615384615,0.04814098296286815,0.029838090372556806,0.048700055796891295,0.0024637391185881284,0.0015270413263380575,0.0997543888274169,0.0028630304459013236,0.001774524655013311,0.1617226465058184,0.029228409927690734,0.018115956160289694,3.3184753318789433,0.0014599113122258436,0.0009048624059818623,0.0884645982498011,0.003783836432084217,0.0023452461181065845,39.52309302775512,5.84314396777623,3.621618152351494
0.5,10,0.9561111111111111,0.006593679107766221,0.004086804651598386,0.9560112793378854,0.00686712570055672,0.0042562886057179745,0.9115384615384615,0.04366509324596513,0.027063905184573404,0.06340096024437718,0.0027045301293442585,0.0016762851410184185,0.12353342722160258,0.0030301219105768984,0.0018780890177791942,0.1742600404535468,0.027028450134274806,0.01675240695352408,3.317737856717803,0.00191850448275185,0.0011891013978808569,0.0884645982498011,0.004620557202784302,0.002863851024699399,46.4936170669843,7.9993460395934965,4.958046042284731
0.6,10,0.950925925925926,0.009924651352354041,0.006151362638275779,0.9508443788347177,0.01004903954788009,0.006228459240608312,0.8846153846153847,0.0641025641025641,0.03973118085852579,0.08039618679984104,0.002821152437973854,0.0017485683967847184,0.14843139708543077,0.005209229556464613,0.0032287139296069884,0.18232251900304536,0.02343464755116263,0.014524945035292393,3.3154752072881712,0.002199657125193485,0.0013633616110577933,0.08488464598249801,0.002977837610953021,0.0018456828731342793,54.0839540364655,6.441741280820007,3.9926326108046233
0.7,10,0.9501851851851851,0.005552125141177516,0.0034412428148793534,0.9501472284361702,0.005738339439963711,0.003556659633022232,0.9096153846153847,0.0471491680729059,0.029223357134925004,0.09956034176939337,0.0040682913735449865,0.00252155311742094,0.17465519168089413,0.006208084050424065,0.0038478103590003144,0.21395962030119517,0.03489203471498344,0.021626307171814293,3.313280334009815,0.00501471657979207,0.003108153537621079,0.08273667462211615,0.004324981816573877,0.0026806515023204613,64.15904749524131,5.6275898060646465,3.488016298764668
0.8,10,0.9366666666666668,0.013546535036390325,0.008396229403180012,0.9366706447603527,0.013746930784755,0.008520435974836293,0.873076923076923,0.05747823531143565,0.03562537933636583,0.11799164070114132,0.0053987222952892305,0.0033461627459378334,0.20009562289931723,0.009281965031526233,0.00575302152968526,0.23648613732676904,0.04548326931705209,0.028190822388656202,3.312686883333997,0.005189406135988575,0.0032164272463019667,0.0832140015910899,0.005424245102326426,0.003361981945631462,72.6593138367828,6.8043920958561825,4.217405914687451
0.9,10,0.928888888888889,0.012289997891105985,0.007617419611813945,0.9289245489334969,0.012553444006716829,0.0077807052059605895,0.873076923076923,0.060948022174383144,0.03777597551488577,0.14312741626051223,0.00826666697558373,0.005123733274984266,0.22667936175057704,0.0078706685168827,0.004878290887419636,0.2503099120303192,0.026707105325228544,0.0165532353773959,3.308525566007139,0.008610216296380925,0.005336667350079571,0.07971360381861575,0.008206076027511616,0.005086178616290879,83.58256468995455,5.0303099188918186,3.1178183893260614
1.0,10,0.9081481481481483,0.01253557656330272,0.0077696308497986494,0.9082659575301065,0.012547077841714918,0.007776759416012758,0.8615384615384615,0.08098262408899363,0.05019355043161389,0.1681017232365754,0.009884045313700586,0.006126194754771035,0.25326841419147045,0.010833155861216363,0.006714459566733141,0.28736581992273064,0.02959750830203923,0.01834472570283661,3.3022905094507657,0.011814922753014644,0.007322964990580765,0.07350835322195705,0.008994311079586348,0.0055747317631338455,99.0343492590574,1.850637785882163,1.1470371833622925
